record_id,race_year,race_round,session,race_key,snapshot_index,time_offset_ms,air_temp_c,track_temp_c,humidity_pct,pressure_mbar,wind_speed_ms,is_raining
8ab606940d452a0af027c43df8a91ee2d2ecd819,2024,1,FP2,2024_1,64,3884903,17.4,21.5,37.0,1017.3,2.2,false
0701fb5faa43f174747151d48875cb1ef7c89df6,2024,1,FP2,2024_1,65,3944902,17.4,21.4,37.0,1017.3,2.5,false
c9baa13c2e912551d6348c93e0c09a3e4e01438d,2024,1,FP2,2024_1,73,4424916,17.3,21.2,35.0,1017.5,1.3,false
0316d3ddeef53c0c63fb583205e37a0a0d4a6bbb,2024,1,FP3,2024_1,4,289895,20.5,34.8,31.0,1017.7,3.7,false
120ddd63c012f1c4a594f5565790ba6c74272059,2024,1,FP3,2024_1,20,1249911,20.4,33.7,33.0,1017.6,3.2,false
ebb970d339c14b643c35ef9af17bafe9520bcb36,2024,1,FP3,2024_1,22,1369914,20.4,33.4,33.0,1017.6,3.0,false
b140e0137dd72ba8199e27df2926a0d19f8fead3,2024,1,FP3,2024_1,47,2870020,20.3,31.6,37.0,1017.7,2.9,false
5df4a07f97a94a15b32a652266b960ab5477f06a,2024,1,FP3,2024_1,73,4430114,19.9,29.7,39.0,1018.0,2.6,false
55ea4b9d127bd316a67b6804716e87bf1492c6d3,2024,1,Q,2024_1,45,2715729,18.1,21.3,46.0,1019.2,1.6,false
78296cece0596472a49d69ebf7c1845459898ef2,2024,1,Q,2024_1,48,2895783,18.0,21.4,46.0,1019.2,2.3,false
4f6b5f4b85ca818a31f6228456b09e8580cbe7b0,2024,1,Q,2024_1,52,3135777,18.0,21.2,46.0,1019.2,1.4,false
707887ae5f629e1924fa1c8c562e3ea03755e18a,2024,1,Q,2024_1,57,3435828,18.0,21.3,46.0,1019.1,1.5,false
686f9948e64534eda5e420fe822db3b8eb0a2f3c,2024,1,Q,2024_1,68,4095918,17.9,21.0,47.0,1019.2,1.3,false
5f93e8676d9c41421b02715e2ec1d475dcf8ac2e,2024,1,R,2024_1,2,134093,18.9,26.5,46.0,1017.0,1.0,false
c4392cad4d973df6a6dc1f298c7b4f69698247f4,2024,1,R,2024_1,3,194090,18.9,26.2,45.0,1017.0,1.1,false
feb4f167fe338e32e256fc7187d02f65cafed373,2024,1,R,2024_1,15,914091,18.8,25.7,46.0,1017.1,1.4,false
f09c834b64f0c6808657af3ec787d6b8e77d2ba1,2024,1,R,2024_1,21,1274111,18.7,25.5,46.0,1017.0,1.0,false
50e4cf4cca72b54a5fbd68fd6d6ad1e18fac2f2b,2024,1,R,2024_1,24,1454101,18.7,25.4,46.0,1017.0,1.4,false
10ee8739374cfd207c12a1fd072851c542f837fb,2024,1,R,2024_1,30,1814103,18.6,25.0,46.0,1017.0,0.4,false
a8e8edbfa942c6be0ea8798c6e975527f2bf4f16,2024,1,R,2024_1,90,5414138,18.1,23.3,50.0,1017.1,0.5,false
c0f0789229af1823875210022d398e5e00bb5065,2024,1,R,2024_1,98,5894153,18.1,23.0,50.0,1017.2,0.3,false
55a13aea82f456241419c7b1a4f80a8e350cbecd,2024,1,R,2024_1,100,6014148,18.1,23.0,49.0,1017.1,0.7,false
5e66a3734cd24c53dfbea2adcc9c6091e65fc572,2024,1,R,2024_1,104,6254146,18.1,22.9,49.0,1017.2,0.0,false
