record_id,race_year,race_round,session,race_key,driver_id,lap_number,pit_in_ms,pit_out_ms,tire_compound_before
4809a859a4adfc22dea8ed61131c1c26e61f8785,2024,1,R,2024_1,MAG,32,6775425,,HARD
aa4be3b38181ecc3e63c0f969dac0a2ecb41f701,2024,1,FP1,2024_1,BOT,8,2353447,,MEDIUM
902faccf543361558b6c093a9176751326ed4258,2024,1,FP1,2024_1,SAI,5,1570528,,MEDIUM
8e570696835f2ce80f8bbc867469727fe75e716b,2024,1,FP1,2024_1,SAI,11,2313606,,MEDIUM
859c1b70a348d7c33a6830e2e39de45f5c24b4b2,2024,1,FP2,2024_1,RIC,11,2889865,,SOFT
9f9e8f2dfcde6c9eec51a68cdee8547b07152de3,2024,1,FP3,2024_1,HAM,3,1585444,,SOFT
662bf72d2883fc1a87b5693d16e7a9d145a2ae2c,2024,1,R,2024_1,TSU,14,4986054,,SOFT
3df00e8763ec84fda5b5403e1a050991a4427c35,2024,1,FP1,2024_1,ALB,17,4168858,,MEDIUM
eb5391046ff79ac4da744833600ecae72dfae63f,2024,1,FP1,2024_1,TSU,9,2053876,,MEDIUM
373bb9a7bc0d453e449f72779218dbf7e089ff99,2024,1,FP2,2024_1,LEC,3,1337731,,SOFT
cb25c2eea196168f765ced15459fef0135b78da4,2024,1,FP2,2024_1,LEC,26,4813151,,SOFT
b25dcb580508ad06b8f4633dec1b713b958e7362,2024,1,FP2,2024_1,STR,12,2887277,,SOFT
9095cc6661849384388e65ecff15156627fbc806,2024,1,FP1,2024_1,PIA,11,2949893,,SOFT
7f1ec744400793a73a9f80f4762551d222782ceb,2024,1,FP2,2024_1,HUL,23,4792428,,SOFT
28a9be91aef09a2f2b231880941fcc0dedd500cf,2024,1,FP2,2024_1,ZHO,6,1621781,,MEDIUM
7f28c978173d3ee2bdf5b88d6b6903383f73e303,2024,1,FP2,2024_1,ZHO,12,2706514,,SOFT
671a6122924315645b76b94d36dea541c429116a,2024,1,FP3,2024_1,PIA,4,2495274,,SOFT
edd5f3bca7e807bac56e577c9f5f3bc630b2a2f7,2024,1,FP2,2024_1,TSU,8,1858106,,MEDIUM
628452454251c6367c26b1d4e9e4e0dde617ca9b,2024,1,FP2,2024_1,OCO,25,4768686,,SOFT
46c89b40c676e14d0993e9e7ff186bc3a65499c2,2024,1,FP3,2024_1,LEC,3,2001485,,SOFT
1d5a08f4e680d3c0888fae717d2eada9851ceddc,2024,1,FP3,2024_1,OCO,3,2677535,,SOFT
c67165a157de4e0d225065389320296936f525bf,2024,1,FP1,2024_1,HUL,24,4087442,,MEDIUM
f10422633396553700527f162ab9dc8d37f67375,2024,1,FP2,2024_1,PER,6,1691580,,SOFT
aba4c82740614606312c19b8fb9dea7094af847b,2024,1,Q,2024_1,LEC,16,4076760,,SOFT
f35f44e387f18f746548b4c8d814e0d1c448cbd7,2024,1,FP3,2024_1,GAS,14,4818024,,SOFT
0594c12bb0c012165b607899bc58c7d0dd4de610,2024,1,R,2024_1,SAR,40,7659995,,HARD
163325f53cebbbe367df4c8e4fb2e2339bdf393c,2024,1,FP3,2024_1,ALO,9,3114547,3012226,SOFT
6dd0e0760b98da6af64edd87cbccc3a1ac7292dd,2024,1,FP3,2024_1,SAI,3,1958276,,SOFT
4211b9d35c0fa0200a9f77e5ee6f3c1df334f6eb,2024,1,FP1,2024_1,TSU,15,3519238,,SOFT
de8c90e4f55722f1c9a2fbf6372bba2177044551,2024,1,FP2,2024_1,LEC,12,2888132,,SOFT
50df3ff2bce140f508edc6ec1d111fc98225083a,2024,1,Q,2024_1,MAG,9,2724369,,SOFT
960657ccd89d2d5dfbcf27f36405d73547b6c200,2024,1,R,2024_1,HUL,20,5606755,,HARD
b41d0eb45b89fd626f7b4d8bd84d30bea4895af0,2024,1,FP1,2024_1,PIA,25,4863754,,MEDIUM
74cec5520a0def633b15dbcbf2165be6825a7733,2024,1,FP2,2024_1,PIA,27,4828236,,MEDIUM
ed39a9afb85f03ee8688b4795c6f724e452ad32c,2024,1,FP1,2024_1,SAR,19,4757650,,MEDIUM
bdf7d16507dddf622fd1318356cf81b00d674b00,2024,1,FP2,2024_1,ALO,22,4847454,,SOFT
241f9268401d65d8948452c4cce6540651cdfbfe,2024,1,FP2,2024_1,OCO,6,1651103,,SOFT
5de2554958c68a47b27496ed9391c560b3aa6599,2024,1,FP2,2024_1,VER,9,2803113,,SOFT
4e23d8cd880a4ccab4025375c7d703e544da5c80,2024,1,FP1,2024_1,RUS,15,3434583,,MEDIUM
9d22cbd58826feafa5f41d6d68c59339bf517107,2024,1,FP3,2024_1,BOT,6,2431885,,SOFT
135ebf2d6d30066f6c738661ba954da9c4f45362,2024,1,FP3,2024_1,BOT,10,3698551,,SOFT
728b754fcedb514e577d8231676b21481d9efac7,2024,1,Q,2024_1,SAI,3,1134679,,MEDIUM
604f8377170058c1a8c7bda73b9d8d952b13b1cd,2024,1,FP1,2024_1,RIC,14,3344509,3223241,SOFT
36f132699135633493d54fd80d190afc01d07f35,2024,1,FP3,2024_1,VER,13,4205267,,SOFT
d8605725e6adb54b9a86f9dd654987939e99b19d,2024,1,Q,2024_1,LEC,19,4576156,,SOFT
38c35e0bd17052fe2bde912f1cb484901aab7136,2024,1,FP2,2024_1,RUS,23,4837922,,SOFT
acfe11766f9e3554500c5c6d56add704f4e47dc3,2024,1,FP3,2024_1,MAG,6,2497021,,SOFT
d58b809851e8bed5b85fc6f64a343a39112531ba,2024,1,FP1,2024_1,GAS,15,3378310,,MEDIUM
3b2f1475ed29cbe301d6feab19ca2557c2640317,2024,1,FP2,2024_1,HAM,9,2620314,,SOFT
82e350a70ea1d7ebd945570bb3d0277eed8fad2c,2024,1,Q,2024_1,TSU,9,2765306,,SOFT
2d351b6eb1d6fed562cc1b21352ce3782d58492a,2024,1,FP1,2024_1,PER,3,1325833,,MEDIUM
25545b654c5473595ac8866380f4bcf06bc79c27,2024,1,FP1,2024_1,VER,21,4830608,,MEDIUM
a404830a44169dca4e403d62d8a2653a401430cd,2024,1,FP2,2024_1,SAI,9,2491319,,SOFT
5f25c00915078e8ebd6360621e08ed5b53293718,2024,1,FP3,2024_1,STR,8,2780852,2684690,SOFT
3a545c8c7253ee035887b43e2a27a3f1361fa7b6,2024,1,Q,2024_1,RIC,3,1450933,,SOFT
c4634c6d7a01af6edf87ca6cd6f6aa625e7a0799,2024,1,FP2,2024_1,GAS,12,3127977,,SOFT
35abc0310320fd442312549cb8d90f3b90aa1e50,2024,1,Q,2024_1,PER,6,2083003,,SOFT
9f666ce2656db6115c57037b3286fd1dd469aa2e,2024,1,R,2024_1,ALB,15,5087139,,SOFT
815676fb8930fc8f70d6ae9a11b0cd6b4dcf1a8a,2024,1,FP1,2024_1,ALB,9,2480373,,MEDIUM
fecc6fd7c673f9cdc67038e2f9576a262fb7fc6f,2024,1,FP2,2024_1,STR,8,2031516,,SOFT
947dd665ec80c85e3bf1af6d4f2770c1da99a604,2024,1,Q,2024_1,STR,12,3290561,,SOFT
869c228ee97734ae572b5d9d774bba72102bd584,2024,1,FP3,2024_1,PIA,7,3279682,,SOFT
99404ba66b102c6eb4528cf15016e3ceba104a86,2024,1,FP1,2024_1,HAM,22,4759109,,MEDIUM
7ec254f4fd4d2c59799684e86d4da0693db06493,2024,1,FP2,2024_1,TSU,29,4821789,,SOFT
98ad54cd1db3e878f9abd53aa2eea66ee90ad85d,2024,1,Q,2024_1,BOT,3,1494158,,SOFT
f0a4d0cc94d035932b984d98283c0af0f17283a4,2024,1,Q,2024_1,VER,3,1558003,,SOFT
2ef68b2989be647f3786bac696d9692a13f3d34f,2024,1,R,2024_1,OCO,10,4598837,,SOFT
71e453711118680f356e1f3f3b1d589413b4d632,2024,1,FP2,2024_1,ALB,23,4379843,,SOFT
d16b1a4b3abab3cfa7c9d21ebc8d9ed085683d29,2024,1,FP3,2024_1,SAR,6,2852440,,SOFT
af7929ec2b75f277040ea770e5df956bc9100440,2024,1,FP3,2024_1,SAR,10,3745246,,SOFT
283305941adbfbab2b0f380fdff3e8611640e657,2024,1,FP3,2024_1,SAR,16,4838067,,SOFT
39781f9f1d0102343edee73fd10ff9bbcadab046,2024,1,FP1,2024_1,ALO,20,4801236,,MEDIUM
2bc0019fe29644fcf2ee0ebbd081598565248646,2024,1,FP3,2024_1,BOT,7,2571656,2456496,SOFT
84cf121b7161b73e1c6822feff74b25d5cf7e5d3,2024,1,FP2,2024_1,BOT,11,2601717,,SOFT
4f73c132047a98f1767395ed993c0baf120dc696,2024,1,Q,2024_1,LEC,13,3333277,,SOFT
